id;data;siglaorgao;idevento;aprovacao;descricao
2562173-28;2026-02-09;PLEN;81002;true;Aprovado, em apreciação preliminar, o Parecer da Comissão Mista, na parte em que manifesta opinião pelo não atendimento dos pressupostos constitucionais de relevância e urgência e de sua adequação financeira e orçamentária, nos termos do artigo 8º da Resolução nº 01, de 2002-CN.
2562173-30;2026-02-09;PLEN;81002;true;"Aprovada a Medida Provisória nº 1.317, de 2025, na forma do Projeto de Lei de Conversão. Sim: 271; Não: 127; Total: 398."
2562173-32;2026-02-09;PLEN;81002;true;Aprovada a Redação Final.
2432865-62;2026-02-09;PLEN;81002;true;Aprovado o Substitutivo ao Projeto de Lei nº 1.743, de 2024, adotado pela relatora da Comissão de Constituição e Justiça e de Cidadania, ressalvados os destaques.
2432865-65;2026-02-09;PLEN;81002;true;Aprovada a Redação Final assinada pela relatora, Dep. Antônia Lúcia (REPUBLIC-AC).
2345500-48;2026-02-09;PLEN;81002;true;Aprovado o Projeto de Lei nº 509, de 2020.
2591974-33;2026-02-10;PLEN;81011;true;Aprovada a Redação Final assinada pelo relator, Dep. Julio Cesar Ribeiro (REPUBLIC/DF).
2600290-55;2026-02-10;MERCOSUL;80976;true;Aprovado o Parecer, apresentou voto em separado o Deputado Renildo Calheiros.
2601390-3;2026-02-10;CPOVOS;80992;true;Aprovado o Requerimento.
2601391-2;2026-02-10;CPOVOS;80992;true;Aprovado o Requerimento, com alteração para incluir os senhores Daniel Bertolini e Erick Jennings, a pedido do Deputado Airton Faleiro.
2601104-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601106-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601107-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601137-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601159-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601216-3;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601232-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601280-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601419-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601422-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601424-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601425-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601474-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601491-2;2026-02-10;CSPCCO;80994;true;Aprovado o Requerimento.
2601048-2;2026-02-10;CPD;80998;true;Aprovado o Requerimento.
2601092-2;2026-02-10;CPD;80998;true;Aprovado o Requerimento.
2601503-3;2026-02-10;CPD;80998;true;Aprovado o Requerimento.
2601504-4;2026-02-10;CPD;80998;true;Aprovado o Requerimento.
2377564-56;2026-02-10;CSPCCO;80994;true;Aprovado o Parecer.
2564194-22;2026-02-10;CSPCCO;80994;true;Aprovado o Parecer.
2320232-73;2026-02-10;CSPCCO;80994;true;Aprovado o Parecer.
2431791-29;2026-02-10;CSPCCO;80994;true;Aprovado o Parecer.
2526893-28;2026-02-10;CSPCCO;80994;true;Aprovado o Parecer.
2537342-23;2026-02-10;CSPCCO;80994;true;Aprovado o Parecer.
2482665-25;2026-02-10;CREDN;80990;true;Aprovado o Parecer.
2477790-24;2026-02-10;CREDN;80990;true;Aprovado o Parecer.
2309796-33;2026-02-10;CREDN;80990;true;Aprovado o Parecer, com o voto contrário da Bancada do NOVO da Comissão.
2600278-9;2026-02-10;PLEN;81011;true;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 273; Não: 103; Abstenção: 1; Total: 377."
2591974-15;2026-02-10;CCP;;true;Realizar o encaminhamento do PL-6133/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2591974-16;2026-02-10;CCP;;true;Realizar o encaminhamento do PL-6133/2025 à CE (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2591974-17;2026-02-10;CCP;;true;Realizar o encaminhamento do PL-6133/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2591974-18;2026-02-10;CCP;;true;Realizar o encaminhamento do PL-6133/2025 à CESPO (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2591974-26;2026-02-10;PLEN;81011;false;"Rejeitado o Requerimento. Sim: 147; Não: 242; Abstenção: 1; Total: 390."
2591974-30;2026-02-10;PLEN;81011;true;Aprovado o Substitutivo ao Projeto de Lei nº 6.133, de 2025, adotado pelo relator da Comissão do Esporte.
2601013-9;2026-02-10;PLEN;81011;true;Aprovado o Requerimento de Urgência (Art. 155 do RICD).
2601040-23;2026-02-10;PLEN;81011;false;"Rejeitado o Requerimento. Sim: 87; Não: 301; Total: 388."
2601040-31;2026-02-10;PLEN;81011;true;"Aprovado o Substitutivo ao Projeto de Lei Complementar nº 14, de 2026, adotado pelo relator da Comissão de Indústria, Comércio e Serviços. Sim: 317; Não: 61; Abstenção: 2; Total: 380."
2601040-34;2026-02-10;PLEN;81011;true;Aprovada a Redação Final assinada pelo relator, Dep. Afonso Motta (PDT/RS).
2600277-9;2026-02-10;PLEN;81011;true;"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 277; Não: 119; Abstenção: 1; Total: 397."
2591970-20;2026-02-10;CCP;;true;Realizar o encaminhamento do PL-6132/2025 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2591970-21;2026-02-10;CCP;;true;Realizar o encaminhamento do PL-6132/2025 à CE (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2591970-22;2026-02-10;CCP;;true;Realizar o encaminhamento do PL-6132/2025 à CFT (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2591970-23;2026-02-10;CCP;;true;Realizar o encaminhamento do PL-6132/2025 à CPOVOS (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2591970-30;2026-02-10;PLEN;81011;true;Aprovado o Projeto de Lei nº 6.132, de 2025.
2591970-32;2026-02-10;PLEN;81011;true;Aprovada a Redação Final assinada pela relatora, Dep. Célia Xakriabá (PSOL/MG).
2566155-60;2026-02-11;MESA;;true;Retirado o REQ n. 5237/2025, em razão do deferimento do Requerimento n. REQ 5305/2025, nos termos do artigo 104, caput, combinado com o artigo 114, VII, ambos do RICD.
2601559-2;2026-02-11;CDU;80997;true;Aprovado o Requerimento.
2601409-2;2026-02-11;CDU;80997;true;Aprovado o Requerimento.
2601255-2;2026-02-11;CTRAB;80995;true;Aprovado o Requerimento, com incluisão de convidado (DIEESE).
2601256-2;2026-02-11;CTRAB;80995;true;Aprovado o Requerimento, com inclusão de convidado (Associação Nacional dos Procuradores e Procuradoras do Trabalho - ANPT).
2601254-4;2026-02-11;CTRAB;80995;true;Aprovado o Requerimento.
2601257-2;2026-02-11;CTRAB;80995;true;Aprovado o Requerimento.
2194583-51;2026-02-11;CDU;80997;true;Aprovado o Parecer.
2601524-2;2026-02-11;CTRAB;80995;true;Aprovado o Requerimento.
2601542-2;2026-02-11;CTRAB;80995;true;Aprovado o Requerimento.
2488154-3;2026-02-11;CME;80973;true;Aprovado o Requerimento.
2565424-2;2026-02-11;CME;80973;true;Aprovado o Requerimento.
2601808-2;2026-02-11;CME;80973;true;Aprovado o Requerimento.
2566032-3;2026-02-11;CME;80973;true;Aprovado o Requerimento.
2579047-4;2026-02-11;CME;80973;true;Aprovado o Requerimento.
2596244-3;2026-02-11;CME;80973;true;Aprovado o Requerimento.
2601502-3;2026-02-11;CME;80973;true;Aprovado o Requerimento.
2472872-40;2026-02-11;CME;80973;true;Aprovado o Parecer.
2540857-26;2026-02-11;CME;80973;true;Aprovado o Parecer.
2481978-25;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2484224-23;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2486620-23;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2487945-25;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2490326-23;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2490332-23;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2490361-24;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2502795-23;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2502809-23;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2502815-23;2026-02-11;CCOM;80772;true;Aprovado o Parecer.
2601080-2;2026-02-11;CPASF;80982;true;Aprovado o Requerimento.
2601082-2;2026-02-11;CPASF;80982;true;Aprovado o Requerimento.
2601493-2;2026-02-11;CPASF;80982;true;Aprovado o Requerimento.
2473101-36;2026-02-11;SECAP(SGM);;true;Deferido o requerimento REQ 5277/2025 , nos termos do artigo 104, caput, do RICD
2487262-384;2026-02-11;SECAP(SGM);;true;Deferido o requerimento REQ 5786/2025 , nos termos do artigo 104, caput, do RICD
2561008-5;2026-02-23;CCP;;true;Realizar o encaminhamento da MPV-1315/2025 à MPV131525 (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2561008-6;2026-02-23;CCP;;true;Realizar o encaminhamento da MPV-1315/2025 à MPV131525 (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2561008-7;2026-02-23;CCP;;true;Realizar o encaminhamento da MPV-1315/2025 à MPV131525 (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2561008-8;2026-02-23;CCP;;true;Realizar o encaminhamento da MPV-1315/2025 à MPV131525 (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2561008-9;2026-02-23;CCP;;true;Realizar o encaminhamento da MPV-1315/2025 à MPV131525 (tramitação simultânea), em razão da aprovação de requerimento de urgência.
2579832-155;2026-02-24;PLEN;81075;true;Aprovada a Redação Final assinada pelo relator, Dep. Guilherme Derrite (PP/SP).
