"id";"uri";"siglaTipo";"numero";"ano";"codTipo";"descricaoTipo";"ementa";"ementaDetalhada";"keywords";"dataApresentacao";"uriOrgaoNumerador";"uriPropAnterior";"uriPropPrincipal";"uriPropPosterior";"urlInteiroTeor";"urnFinal";"ultimoStatus_dataHora";"ultimoStatus_sequencia";"ultimoStatus_uriRelator";"ultimoStatus_idOrgao";"ultimoStatus_siglaOrgao";"ultimoStatus_uriOrgao";"ultimoStatus_regime";"ultimoStatus_descricaoTramitacao";"ultimoStatus_idTipoTramitacao";"ultimoStatus_descricaoSituacao";"ultimoStatus_idSituacao";"ultimoStatus_despacho";"ultimoStatus_apreciacao";"ultimoStatus_url"
"253500";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/253500";"PL";"2597";"2024";"139";"Projeto de Lei";"Estabelece normas gerais em contratos de seguro privado e revoga dispositivos do Código Civil, do Código Comercial Brasileiro e do Decreto-Lei nº 73 de 1966.";"Revoga dispositivos das Leis nºs 556, de 1850 e 10.406, de 2002.";"Normas, contratação, seguro privado, exceção, plano de saúde, exigência, sociedade seguradora, autorização, Superintendência de Seguros Privados (Susep). contrato, seguro, interesse, ineficácia, responsabilidade, riscos, nulidade, garantia, pagamento, prêmio, favorecimento, terceiros, co-seguro, cumulatividade, apólice de seguro, duração, proposta, requisitos, aceitação, prova, documentação, título executivo extrajudicial, interpretação, resseguro, sinistro, atividade de regulação, liquidação, competência, corretor de seguros.  
_ Pagamento, sociedade seguradora, danos, responsabilidade civil, transferência, cessão, interesse, segurado, seguro de vida, indicação, beneficiário, prazo, carência, nulidade, seguro obrigatório, regulamentação, Conselho Nacional de Seguros Privados (CNSP), prescrição, decadência.  
_ Obrigatoriedade, redação, língua portuguesa, contrato, seguros, inclusão, glossário, termo, técnico, ação judicial, revogação, dispositivos, Código Civil, Código Comercial, Lei do Seguro Privado.";"2004-05-13T14:41:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1279376";"";"2024-12-17T00:00:00";"412";"https://dadosabertos.camara.leg.br/api/v2/deputados/74161";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Urgência (Art. 155, RICD)";"Apresentação de Proposição";"100";"Transformado em Norma Jurídica";"1140";"Remessa do Ofício nº 647/2024/PS-GSE ao Senado Federal, informando restituição de autógrafo sancionado.";"Proposição Sujeita à Apreciação do Plenário";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2845541"
"510035";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/510035";"PL";"934";"2024";"139";"Projeto de Lei";"Dispõe sobre a prioridade epidemiológica no tratamento de doenças neuromusculares com paralisia motora e dá outras providências.";"";"Garantia, portador, doença neuromuscular com paralisia motora, prioridade, recebimento, SUS, medicamento, equipamento, convênio, orgão público, entidade sem fins lucrativos, estados, municípios, encaminhamento, paciente, União Federal, incentivo, pesquisa científica, prevenção, tratamento.";"2011-06-22T12:12:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"http://legis.senado.leg.br/dadosabertos/materia/PLC/42/2017";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=891953";"";"2026-02-10T11:00:00";"139";"https://dadosabertos.camara.leg.br/api/v2/deputados/220644";"2003";"CCJC";"https://dadosabertos.camara.leg.br/api/v2/orgaos/2003";"Ordinário (Art. 151, III, RICD)";"Saída de Relator(a) da Comissão - Com Parecer Apresentado";"1255";"Aguardando Designação de Relator(a)";"907";"(Instalação da Comissão) A Relatora, Dep. Rosangela Moro, não integrava a Comissão na data da instalação (deixou de ser membro em 31/01/2026)";"Proposição Sujeita à Apreciação do Plenário";""
"1548579";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/1548579";"PL";"182";"2024";"139";"Projeto de Lei";"Estabelece redução de tributos para produtos adequados à economia verde de baixo carbono.

NOVA EMENTA: Institui o Sistema Brasileiro de Comércio de Emissões de Gases de Efeito Estufa (SBCE); e altera as Leis nºs 12.187, de 29 de dezembro de 2009, 12.651, de 25 de maio de 2012 (Código Florestal), 6.385, de 7 de dezembro de 1976, 11.033, de 21 de dezembro de 2004, e 6.015, de 31 de dezembro de 1973 (Lei de Registros Públicos).";"";"Dedução tributária, Imposto sobre Produtos Industrializados (IPI),Contribuição para os Programas de Integração Social e de Formação do Patrimônio do Servidor Público (Contribuição PIS-Pasep), Contribuição para Financiamento da Seguridade Social (Cofins), produto, redução, carbono, economia verde, beneício fiscal, tributação.";"2015-06-30T21:58:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1355144";"";"2024-12-17T00:00:00";"219";"https://dadosabertos.camara.leg.br/api/v2/deputados/178927";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Urgência (Art. 155, RICD)";"Apresentação de Proposição";"100";"Transformado em Norma Jurídica";"1140";"Remessa do Ofício nº 648/2024/PS-GSE ao Senado Federal, informando restituição de autógrafo sancionado.";"Proposição Sujeita à Apreciação do Plenário";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2845542"
"2092056";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2092056";"PL";"4872";"2024";"139";"Projeto de Lei";"Altera os artigos 155, 157, 180 e 266 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 - Código Penal.";"Trata de crime de furto e receptação de cabos óticos e de energia.";"Alteração, Código Penal, crime contra o patrimônio, furto qualificado, furto,   cabo de energia , cabo ótico, elemento, rede de  telecomunicações,    equipamento, serviços de telecomunicações, reclusão, receptação qualificada, crime contra a segurança dos meios de comunicação e transporte e outros serviços públicos,  interrupção, serviços, telemática, informação,  utilidade pública, aumento, pena, agravação penal,  período, calamidade pública.";"2016-07-14T10:11:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1477337";"";"2025-07-28T00:00:00";"130";"https://dadosabertos.camara.leg.br/api/v2/deputados/204441";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Urgência (Art. 155, RICD)";"Transformado em Norma Jurídica com Veto Parcial";"1012";"Transformado em Norma Jurídica";"1140";"Transformado na Lei Ordinária 15181/2025. DOU 29/07/2025 PÁG 02 COL 01. Vetado parcialmente. MSC-PE 1021/2025. Razões do veto: DOU 29/07/2025 PÁG 02 COL 02.";"Proposição Sujeita à Apreciação do Plenário";""
"2416804";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416804";"PL";"2";"2024";"139";"Projeto de Lei";"Autoriza a concessão de quotas diferenciadas de depreciação acelerada para máquinas, equipamentos, aparelhos e instrumentos novos destinados ao ativo imobilizado e empregados em determinadas atividades econômicas.";"";"Autorização, cota, depreciação acelerada, máquina, equipamento, bens de capital, redução, tributação, Imposto de Renda das Pessoas Jurídicas (IRPJ), Contribuição Social sobre o Lucro Líquido (CSLL), empresa, modernização, Indústria nacional, processo produtivo.";"2024-01-03T15:27:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2382927";"";"2024-05-28T00:00:00";"67";"https://dadosabertos.camara.leg.br/api/v2/deputados/220687";"4";"MESA";"https://dadosabertos.camara.leg.br/api/v2/orgaos/4";"Urgência (Art. 64, CF)";"Transformado em Norma Jurídica com Veto Parcial";"1012";"Transformado em Norma Jurídica";"1140";"Transformado na Lei Ordinária 14871/2024. DOU 29/05/24 PÁG 02 COL 01. Vetado parcialmente. (MSC 242/24-PE). Razões do veto: DOU 29/05/24 PÁG 23 COL 01.";"Proposição Sujeita à Apreciação do Plenário";""
"2416814";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416814";"DOC";"1";"2024";"1033";"Ofício do Congresso Nacional";"Comunica calendário de tramitação da MPV 1200/2023 (Of 379/2023/SGM-CN).";"";"";"2023-12-27T14:26:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416065";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383160";"";"2023-12-27T14:26:00";"1";"";"100002";"COAPP(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100002";"";"Apresentação de Proposição";"100";"Aguardando Encaminhamento";"910";"Apresentação do DOC n. 1/2024 (Ofício do Congresso Nacional), pelo CN        , que ""Comunica calendário de tramitação da MPV 1200/2023 (Of 379/2023/SGM-CN)"".";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383160"
"2416819";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416819";"MSC";"3";"2024";"412";"Mensagem de Restituição de Autógrafos";"Comunica  o Excelentíssimo Senhor Presidente da República a sanção do projeto de lei que “Institui o Dia Nacional da Saúde Única”;  e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei nº 14.792, de 5 de janeiro de 2024.";"";"";"2024-01-10T11:48:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2344530";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383283";"";"2024-01-10T11:48:00";"1";"";"100272";"SERAU(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100272";"";"Apresentação de Proposição";"100";"Aguardando Envio ao Senado Federal";"1293";"Apresentação da MSC n. 3/2024 (Mensagem), pelo Poder Executivo, que ""Comunica  o Excelentíssimo Senhor Presidente da República a sanção do projeto de lei que “Institui o Dia Nacional da Saúde Única”;  e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei nº 14.792, de 5 de janeiro de 2024
"".";"Indefinida";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383283"
"2416820";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416820";"MSC";"4";"2024";"412";"Mensagem de Restituição de Autógrafos";"Comunica  o Excelentíssimo Senhor Presidente da República a sanção do projeto de lei que  “Inscreve o nome de Luiz Gonzaga do Nascimento no Livro dos Heróis e Heroínas da Pátria”; e restitui para o arquivo do  Congresso Nacional, o autógrafo do texto ora convertido na Lei no 14.793, de 5 de janeiro de 2024.";"";"";"2024-01-10T11:49:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2229714";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383284";"";"2024-01-10T11:49:00";"1";"";"100272";"SERAU(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100272";"";"Apresentação de Proposição";"100";"Aguardando Envio ao Senado Federal";"1293";"Apresentação da MSC n. 4/2024 (Mensagem de Restituição de Autógrafos), pelo Poder Executivo, que: ""Comunica  o Excelentíssimo Senhor Presidente da República a sanção do projeto de lei que  “Inscreve o nome de Luiz Gonzaga do Nascimento no Livro dos Heróis e Heroínas da Pátria”; e restitui para o arquivo do  Congresso Nacional, o autógrafo do texto ora convertido na Lei no 14.793, de 5 de janeiro de 2024.
"".";"Indefinida";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383284"
"2416821";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416821";"MSC";"6";"2024";"412";"Mensagem de Restituição de Autógrafos";"Comunica  o Excelentíssimo Senhor Presidente da República a sanção do projeto de lei que  “Inscreve os Lanceiros Negros no Livro dos Heróis e Heroínas da Pátria”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei no 14.795, de 5 de janeiro de 2024.";"";"";"2024-01-10T11:47:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2354267";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383285";"";"2024-01-10T11:47:00";"1";"";"100272";"SERAU(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100272";"";"Apresentação de Proposição";"100";"Aguardando Envio ao Senado Federal";"1293";"Apresentação da MSC n. 6/2024 (Mensagem de Restituição de Autógrafos), pelo Poder Executivo, que: ""Comunica  o Excelentíssimo Senhor Presidente da República a sanção do projeto de lei que  “Inscreve os Lanceiros Negros no Livro dos Heróis e Heroínas da Pátria”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei no 14.795, de 5 de janeiro de 2024"".";"Indefinida";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383285"
"2416822";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2416822";"MSC";"7";"2024";"412";"Mensagem de Restituição de Autógrafos";"Comunica  o Excelentíssimo Senhor Presidente da República a sanção do projeto de lei que “Inscreve o nome de Dorina de Gouvêa Nowill no Livro dos Heróis e Heroínas da Pátria”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei no 14.796, de 5 de janeiro de 2024.";"";"";"2024-01-10T11:50:00";"https://dadosabertos.camara.leg.br/api/v2/orgaos/180";"";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2344529";"";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383289";"";"2024-01-10T11:50:00";"1";"";"100272";"SERAU(SGM)";"https://dadosabertos.camara.leg.br/api/v2/orgaos/100272";"";"Apresentação de Proposição";"100";"Aguardando Envio ao Senado Federal";"1293";"Apresentação da MSC n. 7/2024 (Mensagem de Restituição de Autógrafos), pelo Poder Executivo, que ""Comunica  o Excelentíssimo Senhor Presidente da República a sanção do projeto de lei que “Inscreve o nome de Dorina de Gouvêa Nowill no Livro dos Heróis e Heroínas da Pátria”; e restitui para o arquivo do Congresso Nacional, o autógrafo do texto ora convertido na Lei no 14.796, de 5 de janeiro de 2024"".";"Indefinida";"https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2383289"
